ownerid,rating,ratedaily,vehiclemake,vehiclemodel,vehicletype,vehicleyear
320877,4.95,27,Scion,xB,car,2006
45460,4.86,79,Jeep,Wrangler,suv,2011
1803853,4.86,58,FIAT,500,car,2016
950349,4.78,55,Lexus,IS 250,car,2012
4158797,5,109,Chevrolet,Corvette Stingray,car,2014
5207578,4.91,100,Tesla,Model 3,car,2017
67096,4.9,60,Mazda,3,car,2012
1582843,4.91,46,Chevrolet,Cruze,car,2017
637495,4.7,30,Mazda,6,car,2016
117750,4.99,85,BMW,Z4,car,2011
912177,4.85,65,Jeep,Wrangler,suv,2006
821919,4.97,159,Porsche,Boxster,car,2013
1582843,4.9,42,Hyundai,Elantra,car,2017
507900,4.63,39,Nissan,Versa Note,car,2015
1582843,4.78,38,Nissan,Versa,car,2017
3484421,4.86,110,Porsche,Boxster,car,2013
1427288,4.95,172,Porsche,911,car,2014
1723655,4.84,54,BMW,X3,suv,2008
1347938,4.83,129,Chevrolet,Corvette,car,2017
124207,4.94,89,Tesla,Model 3,car,2018
950349,4.84,46,Toyota,Camry,car,2014
950349,4.78,41,Nissan,Sentra,car,2014
495552,4.97,52,Chevrolet,Cruze,car,2014
1582843,4.83,40,Toyota,Corolla,car,2017
464342,4.84,139,Chevrolet,Corvette,car,2017
3484421,4.92,69,Chevrolet,Camaro,car,2017
1582843,4.83,45,Mitsubishi,Mirage G4,car,2017
663789,4.77,34,Mazda,6,car,2006
1006943,5,59,Lexus,CT 200h,car,2014
464342,4.92,119,BMW,M4,car,2015
595685,4.85,60,Chevrolet,Camaro,car,2018
311958,4.95,35,Toyota,Camry,car,2017
950349,4.78,41,Toyota,Corolla,car,2013
6359397,4.77,47,Honda,Civic,car,2012
168282,4.97,69,BMW,3 Series,car,2017
3689861,4.87,26,Mitsubishi,Mirage,car,2017
1370302,4.88,99,Dodge,Challenger,car,2017
1427288,4.96,109,Porsche,Boxster,car,2013
1582843,4.85,40,Ford,Fiesta,car,2016
3689861,4.86,40,Toyota,Corolla,car,2014
731748,5,89,Mercedes-Benz,SLK-Class,car,2015
2541813,4.88,98,BMW,4 Series,car,2015
1582843,4.89,40,Ford,Fiesta,car,2016
1582843,4.97,42,Kia,Forte,car,2016
67096,4.96,94,Honda,Odyssey,minivan,2013
2714703,4.93,36,Dodge,Charger,car,2014
3248814,4.79,155,Chevrolet,Corvette,car,2017
731748,4.99,89,BMW,4 Series,car,2017
519772,4.96,300,Porsche,911,car,2013
2318184,4.82,45,Toyota,RAV4,suv,2006
1293045,4.9,36,Honda,Insight,car,2012
893373,4.78,138,Tesla,Model S,car,2017
950349,4.74,41,Toyota,Corolla,car,2012
523923,4.95,39,Toyota,Camry,car,2012
656440,4.92,24,Toyota,Corolla,car,2006
2318184,4.93,45,Nissan,Xterra,suv,2008
175408,4.66,50,Acura,ILX,car,2017
4158797,4.99,109,Jaguar,F-TYPE,car,2016
6359397,4.83,44,Nissan,Altima,car,2015
6359397,4.93,55,Toyota,RAV4,suv,2015
1135852,4.97,74,Mercedes-Benz,C-Class,car,2016
2318184,4.8,62,Subaru,Legacy,car,2008
2192096,4.94,51,Toyota,C-HR,suv,2018
6630342,4.96,119,Porsche,718 Boxster,car,2017
3484421,4.91,88,BMW,2 Series,car,2017
2318184,4.91,50,Nissan,Xterra,suv,2011
1427288,4.97,139,Porsche,Boxster,car,2016
1709806,4.98,43,Nissan,Rogue,suv,2016
637495,4.8,25,Kia,Soul,car,2014
950349,4.83,42,Nissan,Sentra,car,2013
1092884,4.85,50,Toyota,Camry Hybrid,car,2014
6359397,4.85,45,Toyota,Prius,car,2014
2318184,4.9,60,Toyota,4Runner,suv,2009
637495,4.71,40,Honda,CR-V,suv,2012
663789,4.72,34,Honda,Civic,car,2008
1122675,4.97,198,Porsche,718 Boxster,car,2017
1186913,4.84,29,Hyundai,Sonata,car,2016
2245310,4.71,50,Toyota,FJ Cruiser,suv,2007
3248814,4.79,239,BMW,i8,car,2015
2757207,4.96,124,Chevrolet,Corvette,car,2015
1806993,4.94,33,Kia,Forte,car,2010
1582843,4.81,35,Nissan,Versa,car,2017
3238496,4.95,99,Chevrolet,Corvette,car,2017
663789,4.72,44,Suzuki,Kizashi,car,2013
1260284,4.96,99,Tesla,Model 3,car,2018
4993965,4.97,43,Honda,Accord,car,2009
729215,4.98,40,Nissan,Sentra,car,2016
6064921,4.87,52,Honda,Accord,car,2015
1300675,4.71,24,Toyota,Corolla,car,2010
354032,4.99,29,Honda,Civic,car,2011
2999083,4.96,109,Porsche,911,car,2005
487015,4.94,89,Ford,Mustang,car,2016
722440,4.79,63,Mercedes-Benz,SL-Class,car,2009
198464,4.72,49,Jeep,Cherokee,suv,2015
509511,4.99,52,Kia,Forte,car,2015
2318184,4.83,50,Nissan,Xterra,suv,2012
4881621,4.96,55,Ford,Mustang,car,2016
912177,4.86,75,Jeep,Wrangler,suv,2010
3484421,4.92,102,BMW,X5,suv,2015
1246806,4.89,99,Chevrolet,Corvette,car,2016
2541813,4.92,97,Audi,S5,car,2014
2624844,4.99,54,Subaru,Outback,suv,2013
4881621,4.88,55,Ford,Mustang,car,2016
2245310,4.57,45,Toyota,Sienna,minivan,2006
1723833,4.98,45,Audi,A4,car,2012
7326774,4.92,32,Chevrolet,Cruze,car,2017
2245310,4.82,47,Toyota,4Runner,suv,2005
6359397,4.92,47,Honda,CR-V,suv,2015
1122675,4.98,248,Porsche,911,car,2013
2541813,4.76,112,Mercedes-Benz,CLA-Class,car,2014
2318184,4.88,45,Toyota,RAV4,suv,2010
3484421,4.82,38,Honda,Civic,car,2016
67096,4.99,70,Toyota,Camry,car,2016
1970699,4.89,109,Porsche,Boxster,car,2013
2280266,4.98,83,Jeep,Wrangler,suv,2015
2541813,4.79,85,Jeep,Wrangler,suv,2017
3689861,4.87,39,FIAT,500,car,2012
1426383,4.9,33,Nissan,Sentra,car,2017
1727097,4.92,52,Kia,Optima,car,2013
2245310,4.68,48,Toyota,4Runner,suv,2005
376701,4.97,220,Tesla,Model 3,car,2018
686744,4.93,50,BMW,3 Series,car,2014
2459011,4.8,70,Lexus,IS 250,car,2014
687208,4.88,52,Chevrolet,Malibu Limited,car,2016
487015,4.92,79,BMW,3 Series,car,2014
9450147,4.99,84,Toyota,RAV4,suv,2014
2000159,4.85,32,BMW,X5,suv,2008
1536463,4.93,90,Toyota,4Runner,suv,2011
3484421,4.95,129,Jaguar,F-TYPE,car,2016
1140662,4.96,54,Toyota,Prius,car,2008
558427,4.88,62,Kia,Optima,car,2017
651599,4.96,104,BMW,4 Series,car,2014
2263885,4.93,69,Ford,Mustang,car,2016
511103,4.96,155,Chevrolet,Corvette Stingray,car,2014
1468529,4.88,28,Toyota,Corolla,car,2016
106644,4.93,42,Chevrolet,Silverado 1500,truck,2009
1404003,4.98,29,Honda,Civic,car,2012
2456231,4.88,31,Toyota,Prius,car,2007
875927,4.89,193,Tesla,Model 3,car,2018
9142498,4.98,88,Polaris,Slingshot,car,2019
3217019,4.89,35,Jeep,Patriot,suv,2016
1300675,4.82,27,Toyota,Corolla,car,2013
198464,4.75,38,Toyota,Yaris,car,2014
8761848,5,139,BMW,i8,car,2016
4057191,4.82,60,Toyota,RAV4,suv,2010
2245898,4.95,39,Ford,Escape,suv,2010
198464,4.9,34,Ford,C-Max Hybrid,car,2013
1836536,4.94,80,Tesla,Model 3,car,2018
499176,4.98,166,Tesla,Model X,suv,2016
1427288,4.97,129,Alfa Romeo,4C,car,2016
6659719,5,74,Mercedes-Benz,C-Class,car,2018
519772,4.94,225,Land Rover,Range Rover Velar,suv,2018
1670971,5,35,Toyota,Corolla,car,2017
1045538,4.99,30,Chevrolet,Volt,car,2012
5147182,4.82,29,Toyota,RAV4,suv,2006
637495,4.81,40,Nissan,Altima,car,2018
4009047,4.98,149,Chevrolet,Corvette,car,2016
2263885,4.92,79,Tesla,Model 3,car,2018
2245310,4.8,52,Toyota,FJ Cruiser,suv,2008
1821886,4.79,75,BMW,3 Series,car,2008
2966298,4.96,129,Tesla,Model 3,car,2018
2245310,4.62,49,Toyota,Sienna,minivan,2012
1970699,4.95,129,BMW,M4,car,2015
6357487,4.69,48,BMW,3 Series,car,2015
2245310,4.63,47,Toyota,Sienna,minivan,2007
4609659,4.92,40,Nissan,Sentra,car,2018
4609659,4.94,34,Nissan,Versa,car,2018
3375565,4.82,50,Jeep,Renegade,suv,2017
1135852,4.94,62,BMW,3 Series,car,2013
2245310,4.68,40,Toyota,Sienna,minivan,2005
2611541,4.82,99,Ford,Mustang,car,2015
640066,4.85,70,Chevrolet,Malibu,car,2013
640470,4.84,26,Buick,LaCrosse,car,2007
106644,4.98,64,Chrysler,Pacifica,minivan,2017
966277,4.83,59,BMW,3 Series,car,2013
2000159,4.79,29,Audi,A4,car,2007
641610,4.93,30,Toyota,Corolla,car,2017
595685,4.71,85,Chevrolet,Camaro,car,2019
507900,4.81,51,Nissan,Altima,car,2016
742089,5,54,Honda,Civic,car,2018
3276160,4.65,49,Audi,A4,car,2015
3375565,4.87,72,Dodge,Durango,suv,2017
1300675,4.79,27,Toyota,Corolla,car,2011
1300675,4.84,27,Toyota,Corolla,car,2012
1300139,4.92,27,Toyota,Matrix,car,2009
4609659,4.98,49,Honda,Accord,car,2017
1186913,4.75,39,Honda,Civic Sedan,car,2019
2800098,5,50,Kia,Sportage,suv,2014
2245310,4.67,40,Toyota,Sienna,minivan,2007
2245310,4.64,45,Toyota,4Runner,suv,2005
4881621,4.97,53,Ford,Mustang,car,2016
637495,4.72,110,Ford,Mustang,car,2019
1300675,4.79,26,Toyota,Corolla,car,2012
449378,4.74,46,Chevrolet,Volt,car,2013
1670971,4.96,35,Honda,Civic,car,2017
6630342,4.98,179,Porsche,911,car,2013
53029,4.85,99,Mercedes-Benz,GLA-Class,suv,2017
