renter_id,id,ownerid,rating,ratedaily,vehiclemake,vehiclemodel,vehicletype,vehicleyear
1,1,320877,4.95,27,Scion,xB,car,2006
2,2,45460,4.86,79,Jeep,Wrangler,suv,2011
3,3,1803853,4.86,58,FIAT,500,car,2016
4,4,950349,4.78,55,Lexus,IS 250,car,2012
5,5,4158797,5.0,109,Chevrolet,Corvette Stingray,car,2014
6,6,5207578,4.91,100,Tesla,Model 3,car,2017
7,7,67096,4.9,60,Mazda,3,car,2012
8,8,1582843,4.91,46,Chevrolet,Cruze,car,2017
9,9,637495,4.7,30,Mazda,6,car,2016
10,10,117750,4.99,85,BMW,Z4,car,2011
11,11,912177,4.85,65,Jeep,Wrangler,suv,2006
12,12,821919,4.97,159,Porsche,Boxster,car,2013
13,13,1582843,4.9,42,Hyundai,Elantra,car,2017
14,14,507900,4.63,39,Nissan,Versa Note,car,2015
15,15,1582843,4.78,38,Nissan,Versa,car,2017
16,16,3484421,4.86,110,Porsche,Boxster,car,2013
17,17,1427288,4.95,172,Porsche,911,car,2014
18,18,1723655,4.84,54,BMW,X3,suv,2008
19,19,1347938,4.83,129,Chevrolet,Corvette,car,2017
20,20,124207,4.94,89,Tesla,Model 3,car,2018
21,21,950349,4.84,46,Toyota,Camry,car,2014
22,22,950349,4.78,41,Nissan,Sentra,car,2014
23,23,495552,4.97,52,Chevrolet,Cruze,car,2014
24,24,1582843,4.83,40,Toyota,Corolla,car,2017
25,25,464342,4.84,139,Chevrolet,Corvette,car,2017
26,26,3484421,4.92,69,Chevrolet,Camaro,car,2017
27,27,1582843,4.83,45,Mitsubishi,Mirage G4,car,2017
28,28,663789,4.77,34,Mazda,6,car,2006
29,29,1006943,5.0,59,Lexus,CT 200h,car,2014
30,30,464342,4.92,119,BMW,M4,car,2015
31,31,595685,4.85,60,Chevrolet,Camaro,car,2018
32,32,311958,4.95,35,Toyota,Camry,car,2017
33,33,950349,4.78,41,Toyota,Corolla,car,2013
34,34,6359397,4.77,47,Honda,Civic,car,2012
35,35,168282,4.97,69,BMW,3 Series,car,2017
36,36,3689861,4.87,26,Mitsubishi,Mirage,car,2017
37,37,1370302,4.88,99,Dodge,Challenger,car,2017
38,38,1427288,4.96,109,Porsche,Boxster,car,2013
39,39,1582843,4.85,40,Ford,Fiesta,car,2016
40,40,3689861,4.86,40,Toyota,Corolla,car,2014
41,41,731748,5.0,89,Mercedes-Benz,SLK-Class,car,2015
42,42,2541813,4.88,98,BMW,4 Series,car,2015
43,43,1582843,4.89,40,Ford,Fiesta,car,2016
44,44,1582843,4.97,42,Kia,Forte,car,2016
45,45,67096,4.96,94,Honda,Odyssey,minivan,2013
46,46,2714703,4.93,36,Dodge,Charger,car,2014
47,47,3248814,4.79,155,Chevrolet,Corvette,car,2017
48,48,731748,4.99,89,BMW,4 Series,car,2017
49,49,519772,4.96,300,Porsche,911,car,2013
50,50,2318184,4.82,45,Toyota,RAV4,suv,2006
51,51,1293045,4.9,36,Honda,Insight,car,2012
52,52,893373,4.78,138,Tesla,Model S,car,2017
53,53,950349,4.74,41,Toyota,Corolla,car,2012
54,54,523923,4.95,39,Toyota,Camry,car,2012
55,55,656440,4.92,24,Toyota,Corolla,car,2006
56,56,2318184,4.93,45,Nissan,Xterra,suv,2008
57,57,175408,4.66,50,Acura,ILX,car,2017
58,58,4158797,4.99,109,Jaguar,F-TYPE,car,2016
59,59,6359397,4.83,44,Nissan,Altima,car,2015
60,60,6359397,4.93,55,Toyota,RAV4,suv,2015
61,61,1135852,4.97,74,Mercedes-Benz,C-Class,car,2016
62,62,2318184,4.8,62,Subaru,Legacy,car,2008
63,63,2192096,4.94,51,Toyota,C-HR,suv,2018
64,64,6630342,4.96,119,Porsche,718 Boxster,car,2017
65,65,3484421,4.91,88,BMW,2 Series,car,2017
66,66,2318184,4.91,50,Nissan,Xterra,suv,2011
67,67,1427288,4.97,139,Porsche,Boxster,car,2016
68,68,1709806,4.98,43,Nissan,Rogue,suv,2016
69,69,637495,4.8,25,Kia,Soul,car,2014
70,70,950349,4.83,42,Nissan,Sentra,car,2013
71,71,1092884,4.85,50,Toyota,Camry Hybrid,car,2014
72,72,6359397,4.85,45,Toyota,Prius,car,2014
73,73,2318184,4.9,60,Toyota,4Runner,suv,2009
74,74,637495,4.71,40,Honda,CR-V,suv,2012
75,75,663789,4.72,34,Honda,Civic,car,2008
76,76,1122675,4.97,198,Porsche,718 Boxster,car,2017
77,77,1186913,4.84,29,Hyundai,Sonata,car,2016
78,78,2245310,4.71,50,Toyota,FJ Cruiser,suv,2007
79,79,3248814,4.79,239,BMW,i8,car,2015
80,80,2757207,4.96,124,Chevrolet,Corvette,car,2015
81,81,1806993,4.94,33,Kia,Forte,car,2010
82,82,1582843,4.81,35,Nissan,Versa,car,2017
83,83,3238496,4.95,99,Chevrolet,Corvette,car,2017
84,84,663789,4.72,44,Suzuki,Kizashi,car,2013
85,85,1260284,4.96,99,Tesla,Model 3,car,2018
86,86,4993965,4.97,43,Honda,Accord,car,2009
87,87,729215,4.98,40,Nissan,Sentra,car,2016
88,88,6064921,4.87,52,Honda,Accord,car,2015
89,89,1300675,4.71,24,Toyota,Corolla,car,2010
90,90,354032,4.99,29,Honda,Civic,car,2011
91,91,2999083,4.96,109,Porsche,911,car,2005
92,92,487015,4.94,89,Ford,Mustang,car,2016
93,93,722440,4.79,63,Mercedes-Benz,SL-Class,car,2009
94,94,198464,4.72,49,Jeep,Cherokee,suv,2015
95,95,509511,4.99,52,Kia,Forte,car,2015
96,96,2318184,4.83,50,Nissan,Xterra,suv,2012
97,97,4881621,4.96,55,Ford,Mustang,car,2016
98,98,912177,4.86,75,Jeep,Wrangler,suv,2010
99,99,3484421,4.92,102,BMW,X5,suv,2015
100,100,1246806,4.89,99,Chevrolet,Corvette,car,2016
101,101,2541813,4.92,97,Audi,S5,car,2014
102,102,2624844,4.99,54,Subaru,Outback,suv,2013
103,103,4881621,4.88,55,Ford,Mustang,car,2016
104,104,2245310,4.57,45,Toyota,Sienna,minivan,2006
105,105,1723833,4.98,45,Audi,A4,car,2012
106,106,7326774,4.92,32,Chevrolet,Cruze,car,2017
107,107,2245310,4.82,47,Toyota,4Runner,suv,2005
108,108,6359397,4.92,47,Honda,CR-V,suv,2015
109,109,1122675,4.98,248,Porsche,911,car,2013
110,110,2541813,4.76,112,Mercedes-Benz,CLA-Class,car,2014
111,111,2318184,4.88,45,Toyota,RAV4,suv,2010
112,112,3484421,4.82,38,Honda,Civic,car,2016
113,113,67096,4.99,70,Toyota,Camry,car,2016
114,114,1970699,4.89,109,Porsche,Boxster,car,2013
115,115,2280266,4.98,83,Jeep,Wrangler,suv,2015
116,116,2541813,4.79,85,Jeep,Wrangler,suv,2017
117,117,3689861,4.87,39,FIAT,500,car,2012
118,118,1426383,4.9,33,Nissan,Sentra,car,2017
119,119,1727097,4.92,52,Kia,Optima,car,2013
120,120,2245310,4.68,48,Toyota,4Runner,suv,2005
121,121,376701,4.97,220,Tesla,Model 3,car,2018
122,122,686744,4.93,50,BMW,3 Series,car,2014
123,123,2459011,4.8,70,Lexus,IS 250,car,2014
124,124,687208,4.88,52,Chevrolet,Malibu Limited,car,2016
125,125,487015,4.92,79,BMW,3 Series,car,2014
126,126,9450147,4.99,84,Toyota,RAV4,suv,2014
127,127,2000159,4.85,32,BMW,X5,suv,2008
128,128,1536463,4.93,90,Toyota,4Runner,suv,2011
129,129,3484421,4.95,129,Jaguar,F-TYPE,car,2016
130,130,1140662,4.96,54,Toyota,Prius,car,2008
131,131,558427,4.88,62,Kia,Optima,car,2017
132,132,651599,4.96,104,BMW,4 Series,car,2014
133,133,2263885,4.93,69,Ford,Mustang,car,2016
134,134,511103,4.96,155,Chevrolet,Corvette Stingray,car,2014
135,135,1468529,4.88,28,Toyota,Corolla,car,2016
136,136,106644,4.93,42,Chevrolet,Silverado 1500,truck,2009
137,137,1404003,4.98,29,Honda,Civic,car,2012
138,138,2456231,4.88,31,Toyota,Prius,car,2007
139,139,875927,4.89,193,Tesla,Model 3,car,2018
140,140,9142498,4.98,88,Polaris,Slingshot,car,2019
141,141,3217019,4.89,35,Jeep,Patriot,suv,2016
142,142,1300675,4.82,27,Toyota,Corolla,car,2013
143,143,198464,4.75,38,Toyota,Yaris,car,2014
144,144,8761848,5.0,139,BMW,i8,car,2016
145,145,4057191,4.82,60,Toyota,RAV4,suv,2010
146,146,2245898,4.95,39,Ford,Escape,suv,2010
147,147,198464,4.9,34,Ford,C-Max Hybrid,car,2013
148,148,1836536,4.94,80,Tesla,Model 3,car,2018
149,149,499176,4.98,166,Tesla,Model X,suv,2016
150,150,1427288,4.97,129,Alfa Romeo,4C,car,2016
151,151,6659719,5.0,74,Mercedes-Benz,C-Class,car,2018
152,152,519772,4.94,225,Land Rover,Range Rover Velar,suv,2018
153,153,1670971,5.0,35,Toyota,Corolla,car,2017
154,154,1045538,4.99,30,Chevrolet,Volt,car,2012
155,155,5147182,4.82,29,Toyota,RAV4,suv,2006
156,156,637495,4.81,40,Nissan,Altima,car,2018
157,157,4009047,4.98,149,Chevrolet,Corvette,car,2016
158,158,2263885,4.92,79,Tesla,Model 3,car,2018
159,159,2245310,4.8,52,Toyota,FJ Cruiser,suv,2008
160,160,1821886,4.79,75,BMW,3 Series,car,2008
161,161,2966298,4.96,129,Tesla,Model 3,car,2018
162,162,2245310,4.62,49,Toyota,Sienna,minivan,2012
163,163,1970699,4.95,129,BMW,M4,car,2015
164,164,6357487,4.69,48,BMW,3 Series,car,2015
165,165,2245310,4.63,47,Toyota,Sienna,minivan,2007
166,166,4609659,4.92,40,Nissan,Sentra,car,2018
167,167,4609659,4.94,34,Nissan,Versa,car,2018
168,168,3375565,4.82,50,Jeep,Renegade,suv,2017
169,169,1135852,4.94,62,BMW,3 Series,car,2013
170,170,2245310,4.68,40,Toyota,Sienna,minivan,2005
171,171,2611541,4.82,99,Ford,Mustang,car,2015
172,172,640066,4.85,70,Chevrolet,Malibu,car,2013
173,173,640470,4.84,26,Buick,LaCrosse,car,2007
174,174,106644,4.98,64,Chrysler,Pacifica,minivan,2017
175,175,966277,4.83,59,BMW,3 Series,car,2013
176,176,2000159,4.79,29,Audi,A4,car,2007
177,177,641610,4.93,30,Toyota,Corolla,car,2017
178,178,595685,4.71,85,Chevrolet,Camaro,car,2019
179,179,507900,4.81,51,Nissan,Altima,car,2016
180,180,742089,5.0,54,Honda,Civic,car,2018
181,181,3276160,4.65,49,Audi,A4,car,2015
182,182,3375565,4.87,72,Dodge,Durango,suv,2017
183,183,1300675,4.79,27,Toyota,Corolla,car,2011
184,184,1300675,4.84,27,Toyota,Corolla,car,2012
185,185,1300139,4.92,27,Toyota,Matrix,car,2009
186,186,4609659,4.98,49,Honda,Accord,car,2017
187,187,1186913,4.75,39,Honda,Civic Sedan,car,2019
188,188,2800098,5.0,50,Kia,Sportage,suv,2014
189,189,2245310,4.67,40,Toyota,Sienna,minivan,2007
190,190,2245310,4.64,45,Toyota,4Runner,suv,2005
191,191,4881621,4.97,53,Ford,Mustang,car,2016
192,192,637495,4.72,110,Ford,Mustang,car,2019
193,193,1300675,4.79,26,Toyota,Corolla,car,2012
194,194,449378,4.74,46,Chevrolet,Volt,car,2013
195,195,1670971,4.96,35,Honda,Civic,car,2017
196,196,6630342,4.98,179,Porsche,911,car,2013
197,197,53029,4.85,99,Mercedes-Benz,GLA-Class,suv,2017
